TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I=13,  J=13,  SOLUTIONTIME=   0.00000,  DATAPACKING = POINT
   0.00000     0.00000     0.00000     0.00000     0.00000      10    10     0
   0.01089     0.00000     0.00000     0.00000     0.00000      10    10     0
   0.05647     0.00000     0.00000     0.00000     0.00000      10    10     0
   0.13492     0.00000     0.00000     0.00000     0.00000      10    10     0
   0.24045     0.00000     0.00000     0.00000     0.00000      10    10     0
   0.36523     0.00000     0.00000     0.00000     0.00000      10    10     0
   0.50000     0.00000     0.00000     0.00000     0.00000      10    10     0
   0.63477     0.00000     0.00000     0.00000     0.00000      10    10     0
   0.75955     0.00000     0.00000     0.00000     0.00000      10    10     0
   0.86508     0.00000     0.00000     0.00000     0.00000      10    10     0
   0.94353     0.00000     0.00000     0.00000     0.00000      10    10     0
   0.98911     0.00000     0.00000     0.00000     0.00000      10    10     0
   1.00000     0.00000     0.00000     0.00000     0.00000      10    10     0
   0.00000     0.01089     0.00000     0.00000     0.00000      10    10     0
   0.01089     0.01089     0.00000     0.00000     0.00000      10    10     0
   0.05647     0.01089     0.00000     0.00000     0.00000      10    10     0
   0.13492     0.01089     0.00000     0.00000     0.00000      10    10     0
   0.24045     0.01089     0.00000     0.00000     0.00000      10    10     0
   0.36523     0.01089     0.00000     0.00000     0.00000      10    10     0
   0.50000     0.01089     0.00000     0.00000     0.00000      10    10     0
   0.63477     0.01089     0.00000     0.00000     0.00000      10    10     0
   0.75955     0.01089     0.00000     0.00000     0.00000      10    10     0
   0.86508     0.01089     0.00000     0.00000     0.00000      10    10     0
   0.94353     0.01089     0.00000     0.00000     0.00000      10    10     0
   0.98911     0.01089     0.00000     0.00000     0.00000      10    10     0
   1.00000     0.01089     0.00000     0.00000     0.00000      10    10     0
   0.00000     0.05647     0.00000     0.00000     0.00000      10    10     0
   0.01089     0.05647     0.00000     0.00000     0.00000      10    10     0
   0.05647     0.05647     0.00000     0.00000     0.00000      10    10     0
   0.13492     0.05647     0.00000     0.00000     0.00000      10    10     0
   0.24045     0.05647     0.00000     0.00000     0.00000      10    10     0
   0.36523     0.05647     0.00000     0.00000     0.00000      10    10     0
   0.50000     0.05647     0.00000     0.00000     0.00000      10    10     0
   0.63477     0.05647     0.00000     0.00000     0.00000      10    10     0
   0.75955     0.05647     0.00000     0.00000     0.00000      10    10     0
   0.86508     0.05647     0.00000     0.00000     0.00000      10    10     0
   0.94353     0.05647     0.00000     0.00000     0.00000      10    10     0
   0.98911     0.05647     0.00000     0.00000     0.00000      10    10     0
   1.00000     0.05647     0.00000     0.00000     0.00000      10    10     0
   0.00000     0.13492     0.00000     0.00000     0.00000      10    10     0
   0.01089     0.13492     0.00000     0.00000     0.00000      10    10     0
   0.05647     0.13492     0.00000     0.00000     0.00000      10    10     0
   0.13492     0.13492     0.00000     0.00000     0.00000      10    10     0
   0.24045     0.13492     0.00000     0.00000     0.00000      10    10     0
   0.36523     0.13492     0.00000     0.00000     0.00000      10    10     0
   0.50000     0.13492     0.00000     0.00000     0.00000      10    10     0
   0.63477     0.13492     0.00000     0.00000     0.00000      10    10     0
   0.75955     0.13492     0.00000     0.00000     0.00000      10    10     0
   0.86508     0.13492     0.00000     0.00000     0.00000      10    10     0
   0.94353     0.13492     0.00000     0.00000     0.00000      10    10     0
   0.98911     0.13492     0.00000     0.00000     0.00000      10    10     0
   1.00000     0.13492     0.00000     0.00000     0.00000      10    10     0
   0.00000     0.24045     0.00000     0.00000     0.00000      10    10     0
   0.01089     0.24045     0.00000     0.00000     0.00000      10    10     0
   0.05647     0.24045     0.00000     0.00000     0.00000      10    10     0
   0.13492     0.24045     0.00000     0.00000     0.00000      10    10     0
   0.24045     0.24045     0.00000     0.00000     0.00000      10    10     0
   0.36523     0.24045     0.00000     0.00000     0.00000      10    10     0
   0.50000     0.24045     0.00000     0.00000     0.00000      10    10     0
   0.63477     0.24045     0.00000     0.00000     0.00000      10    10     0
   0.75955     0.24045     0.00000     0.00000     0.00000      10    10     0
   0.86508     0.24045     0.00000     0.00000     0.00000      10    10     0
   0.94353     0.24045     0.00000     0.00000     0.00000      10    10     0
   0.98911     0.24045     0.00000     0.00000     0.00000      10    10     0
   1.00000     0.24045     0.00000     0.00000     0.00000      10    10     0
   0.00000     0.36523     0.00000     0.00000     0.00000      10    10     0
   0.01089     0.36523     0.00000     0.00000     0.00000      10    10     0
   0.05647     0.36523     0.00000     0.00000     0.00000      10    10     0
   0.13492     0.36523     0.00000     0.00000     0.00000      10    10     0
   0.24045     0.36523     0.00000     0.00000     0.00000      10    10     0
