TITLE = "MESH AND SOLUTIONS"
VARIABLES = "X", "Y", "PRESSURE", "U", "V",  "N", "M", "PROC"
ZONE T= "IEL     1",  I= 7,  J= 7,  SOLUTIONTIME=   1.00020,  DATAPACKING = POINT
   0.00000     0.00000     0.00306    -0.00498    -0.00498       4     4     0
   0.02346     0.00000     0.00457    -0.00452    -0.00275       4     4     0
   0.11538     0.00000     0.00352     0.00319    -0.00108       4     4     0
   0.25000     0.00000     0.00166     0.00560    -0.00746       4     4     0
   0.38462     0.00000     0.00681    -0.00715    -0.00241       4     4     0
   0.47654     0.00000     0.00068    -0.00033     0.02163       4     4     0
   0.50000     0.00000    -0.00475     0.00766     0.03181       4     4     0
   0.00000     0.02346     0.00457    -0.00275    -0.00452       4     4     0
   0.02346     0.02346     0.00167    -0.00258    -0.00258       4     4     0
   0.11538     0.02346    -0.00108     0.00191    -0.00032       4     4     0
   0.25000     0.02346     0.00686     0.00254    -0.00578       4     4     0
   0.38462     0.02346     0.00656    -0.00361    -0.00592       4     4     0
   0.47654     0.02346    -0.01150     0.00853     0.00921       4     4     0
   0.50000     0.02346    -0.01963     0.01711     0.01638       4     4     0
   0.00000     0.11538     0.00352    -0.00108     0.00319       4     4     0
   0.02346     0.11538    -0.00108    -0.00032     0.00191       4     4     0
   0.11538     0.11538    -0.00973     0.00257     0.00257       4     4     0
   0.25000     0.11538     0.00122    -0.00386     0.00465       4     4     0
   0.38462     0.11538     0.00977    -0.00773    -0.00408       4     4     0
   0.47654     0.11538    -0.02001     0.02229    -0.01387       4     4     0
   0.50000     0.11538    -0.03659     0.03872    -0.01593       4     4     0
   0.00000     0.25000     0.00166    -0.00746     0.00560       4     4     0
   0.02346     0.25000     0.00686    -0.00578     0.00254       4     4     0
   0.11538     0.25000     0.00122     0.00465    -0.00386       4     4     0
   0.25000     0.25000    -0.01023     0.00214     0.00214       4     4     0
   0.38462     0.25000     0.01053    -0.01698     0.01188       4     4     0
   0.47654     0.25000     0.00499    -0.00042     0.00331       4     4     0
   0.50000     0.25000    -0.00693     0.01397    -0.00310       4     4     0
   0.00000     0.38462     0.00681    -0.00241    -0.00715       4     4     0
   0.02346     0.38462     0.00656    -0.00592    -0.00361       4     4     0
   0.11538     0.38462     0.00977    -0.00408    -0.00773       4     4     0
   0.25000     0.38462     0.01053     0.01188    -0.01698       4     4     0
   0.38462     0.38462     0.00406     0.00423     0.00423       4     4     0
   0.47654     0.38462     0.01093    -0.02716     0.02275       4     4     0
   0.50000     0.38462     0.01683    -0.03894     0.02424       4     4     0
   0.00000     0.47654     0.00068     0.02163    -0.00033       4     4     0
   0.02346     0.47654    -0.01150     0.00921     0.00853       4     4     0
   0.11538     0.47654    -0.02001    -0.01387     0.02229       4     4     0
   0.25000     0.47654     0.00499     0.00331    -0.00042       4     4     0
   0.38462     0.47654     0.01093     0.02275    -0.02716       4     4     0
   0.47654     0.47654     0.01203    -0.00936    -0.00936       4     4     0
   0.50000     0.47654     0.01605    -0.02865     0.00419       4     4     0
   0.00000     0.50000    -0.00475     0.03181     0.00766       4     4     0
   0.02346     0.50000    -0.01963     0.01638     0.01711       4     4     0
   0.11538     0.50000    -0.03659    -0.01593     0.03872       4     4     0
   0.25000     0.50000    -0.00693    -0.00310     0.01397       4     4     0
   0.38462     0.50000     0.01683     0.02424    -0.03894       4     4     0
   0.47654     0.50000     0.01605     0.00419    -0.02865       4     4     0
   0.50000     0.50000     0.01447    -0.01128    -0.01128       4     4     0
ZONE T= "IEL     2",  I= 7,  J= 7,  SOLUTIONTIME=   1.00020,  DATAPACKING = POINT
   0.50000     0.00000    -0.01329     0.00192     0.01317       4     4     0
   0.52346     0.00000    -0.01413     0.01879     0.02438       4     4     0
   0.61538     0.00000     0.02961    -0.02294    -0.04936       4     4     0
   0.75000     0.00000     0.14973    -0.23088    -0.18075       4     4     0
   0.88462     0.00000     0.20368    -0.30142    -0.07048       4     4     0
   0.97654     0.00000     0.12832    -0.06994     0.11477       4     4     0
   1.00000     0.00000     0.08800     0.04516     0.15970       4     4     0
   0.50000     0.02346    -0.01414     0.01350     0.01632       4     4     0
   0.52346     0.02346    -0.01367     0.01370     0.01976       4     4     0
   0.61538     0.02346     0.05271    -0.06229    -0.03482       4     4     0
   0.75000     0.02346     0.16226    -0.22868    -0.14828       4     4     0
   0.88462     0.02346     0.13144    -0.23195    -0.13194       4     4     0
   0.97654     0.02346     0.03694    -0.04678    -0.02224       4     4     0
